"","sampleid","otus","bodysite"
"1","L1S8",2613,"gut"
"2","L1S8",1622,"gut"
"3","L1S8",5,"gut"
"4","L1S8",243,"gut"
"5","L1S8",3,"gut"
"6","L1S8",130,"gut"
"7","L1S8",536,"gut"
"8","L1S8",30,"gut"
"9","L1S8",88,"gut"
"10","L1S8",86,"gut"
"11","L1S8",582,"gut"
"12","L1S8",17,"gut"
"13","L1S8",245,"gut"
"14","L1S8",26,"gut"
"15","L1S8",55,"gut"
"16","L1S8",67,"gut"
"17","L1S8",30,"gut"
"18","L1S8",37,"gut"
"19","L1S140",2276,"gut"
"20","L1S140",1176,"gut"
"21","L1S140",647,"gut"
"22","L1S140",703,"gut"
"23","L1S140",243,"gut"
"24","L1S140",305,"gut"
"25","L1S140",62,"gut"
"26","L1S140",195,"gut"
"27","L1S140",126,"gut"
"28","L1S140",11,"gut"
"29","L1S140",104,"gut"
"30","L1S140",60,"gut"
"31","L1S140",82,"gut"
"32","L1S140",48,"gut"
"33","L1S140",40,"gut"
"34","L1S140",89,"gut"
"35","L1S140",44,"gut"
"36","L1S140",62,"gut"
"37","L5S155",140,"tongue"
"38","L5S155",8,"tongue"
"39","L5S155",453,"tongue"
"40","L5S155",44,"tongue"
"41","L5S155",118,"tongue"
"42","L5S155",529,"tongue"
"43","L5S155",165,"tongue"
"44","L5S155",97,"tongue"
"45","L5S155",48,"tongue"
"46","L5S155",28,"tongue"
"47","L5S155",73,"tongue"
"48","L5S155",21,"tongue"
"49","L5S155",27,"tongue"
"50","L5S155",7,"tongue"
"51","L5S155",8,"tongue"
"52","L5S155",10,"tongue"
"53","L6S20",3336,"tongue"
"54","L6S20",215,"tongue"
"55","L6S20",950,"tongue"
"56","L6S20",625,"tongue"
"57","L6S20",167,"tongue"
"58","L6S20",203,"tongue"
"59","L6S20",91,"tongue"
"60","L6S20",9,"tongue"
"61","L6S20",114,"tongue"
"62","L6S20",108,"tongue"
"63","L6S20",179,"tongue"
"64","L6S20",31,"tongue"
"65","L6S20",14,"tongue"
"66","L6S20",35,"tongue"
"67","L6S20",12,"tongue"
"68","L6S20",3,"tongue"
"69","L6S20",116,"tongue"
"70","L6S20",22,"tongue"
"71","L6S20",44,"tongue"
"72","L6S20",53,"tongue"
"73","L6S20",73,"tongue"
"74","L6S20",83,"tongue"
"75","L6S20",40,"tongue"
"76","L6S20",49,"tongue"
"77","L2S204",23,"leftpalm"
"78","L2S204",24,"leftpalm"
"79","L2S204",95,"leftpalm"
"80","L2S204",106,"leftpalm"
"81","L2S204",1484,"leftpalm"
"82","L2S204",19,"leftpalm"
"83","L2S204",22,"leftpalm"
"84","L2S204",50,"leftpalm"
"85","L2S204",21,"leftpalm"
"86","L2S204",20,"leftpalm"
"87","L2S204",31,"leftpalm"
"88","L2S204",14,"leftpalm"
"89","L2S204",117,"leftpalm"
"90","L2S204",30,"leftpalm"
"91","L2S204",56,"leftpalm"
"92","L2S204",40,"leftpalm"
"93","L2S204",16,"leftpalm"
"94","L2S204",36,"leftpalm"
"95","L2S204",3,"leftpalm"
"96","L2S204",18,"leftpalm"
"97","L2S204",12,"leftpalm"
"98","L2S204",35,"leftpalm"
"99","L2S204",24,"leftpalm"
"100","L2S204",19,"leftpalm"
"101","L2S204",27,"leftpalm"
"102","L2S175",10,"leftpalm"
"103","L2S175",778,"leftpalm"
"104","L2S175",51,"leftpalm"
"105","L2S175",230,"leftpalm"
"106","L2S175",10,"leftpalm"
"107","L2S175",30,"leftpalm"
"108","L2S175",7,"leftpalm"
"109","L2S175",19,"leftpalm"
"110","L2S175",868,"leftpalm"
"111","L2S175",44,"leftpalm"
"112","L2S175",293,"leftpalm"
"113","L2S175",100,"leftpalm"
"114","L2S175",56,"leftpalm"
"115","L2S175",44,"leftpalm"
"116","L2S175",38,"leftpalm"
"117","L2S175",26,"leftpalm"
"118","L2S175",43,"leftpalm"
"119","L2S175",106,"leftpalm"
"120","L2S175",139,"leftpalm"
"121","L2S175",50,"leftpalm"
"122","L2S175",49,"leftpalm"
"123","L2S175",21,"leftpalm"
"124","L2S175",134,"leftpalm"
"125","L2S175",102,"leftpalm"
"126","L2S175",66,"leftpalm"
"127","L2S175",14,"leftpalm"
"128","L2S175",31,"leftpalm"
"129","L2S175",43,"leftpalm"
"130","L2S175",8,"leftpalm"
"131","L2S175",50,"leftpalm"
"132","L2S175",10,"leftpalm"
"133","L2S175",24,"leftpalm"
"134","L2S175",14,"leftpalm"
"135","L2S175",57,"leftpalm"
"136","L2S175",25,"leftpalm"
"137","L2S175",18,"leftpalm"
"138","L2S175",23,"leftpalm"
"139","L2S175",16,"leftpalm"
"140","L2S175",49,"leftpalm"
