"sampleid","otus","bodysite"
"L1S8",2613,"gut"
"L1S8",1622,"gut"
"L1S8",5,"gut"
"L1S8",243,"gut"
"L1S8",3,"gut"
"L1S8",130,"gut"
"L1S8",536,"gut"
"L1S8",30,"gut"
"L1S8",88,"gut"
"L1S8",86,"gut"
"L1S8",582,"gut"
"L1S8",17,"gut"
"L1S8",245,"gut"
"L1S8",26,"gut"
"L1S8",55,"gut"
"L1S8",67,"gut"
"L1S8",30,"gut"
"L1S8",37,"gut"
"L1S140",2276,"gut"
"L1S140",1176,"gut"
"L1S140",647,"gut"
"L1S140",703,"gut"
"L1S140",243,"gut"
"L1S140",305,"gut"
"L1S140",62,"gut"
"L1S140",195,"gut"
"L1S140",126,"gut"
"L1S140",11,"gut"
"L1S140",104,"gut"
"L1S140",60,"gut"
"L1S140",82,"gut"
"L1S140",48,"gut"
"L1S140",40,"gut"
"L1S140",89,"gut"
"L1S140",44,"gut"
"L1S140",62,"gut"
"L5S155",140,"tongue"
"L5S155",8,"tongue"
"L5S155",453,"tongue"
"L5S155",44,"tongue"
"L5S155",118,"tongue"
"L5S155",529,"tongue"
"L5S155",165,"tongue"
"L5S155",97,"tongue"
"L5S155",48,"tongue"
"L5S155",28,"tongue"
"L5S155",73,"tongue"
"L5S155",21,"tongue"
"L5S155",27,"tongue"
"L5S155",7,"tongue"
"L5S155",8,"tongue"
"L5S155",10,"tongue"
"L6S20",3336,"tongue"
"L6S20",215,"tongue"
"L6S20",950,"tongue"
"L6S20",625,"tongue"
"L6S20",167,"tongue"
"L6S20",203,"tongue"
"L6S20",91,"tongue"
"L6S20",9,"tongue"
"L6S20",114,"tongue"
"L6S20",108,"tongue"
"L6S20",179,"tongue"
"L6S20",31,"tongue"
"L6S20",14,"tongue"
"L6S20",35,"tongue"
"L6S20",12,"tongue"
"L6S20",3,"tongue"
"L6S20",116,"tongue"
"L6S20",22,"tongue"
"L6S20",44,"tongue"
"L6S20",53,"tongue"
"L6S20",73,"tongue"
"L6S20",83,"tongue"
"L6S20",40,"tongue"
"L6S20",49,"tongue"
"L2S204",23,"leftpalm"
"L2S204",24,"leftpalm"
"L2S204",95,"leftpalm"
"L2S204",106,"leftpalm"
"L2S204",1484,"leftpalm"
"L2S204",19,"leftpalm"
"L2S204",22,"leftpalm"
"L2S204",50,"leftpalm"
"L2S204",21,"leftpalm"
"L2S204",20,"leftpalm"
"L2S204",31,"leftpalm"
"L2S204",14,"leftpalm"
"L2S204",117,"leftpalm"
"L2S204",30,"leftpalm"
"L2S204",56,"leftpalm"
"L2S204",40,"leftpalm"
"L2S204",16,"leftpalm"
"L2S204",36,"leftpalm"
"L2S204",3,"leftpalm"
"L2S204",18,"leftpalm"
"L2S204",12,"leftpalm"
"L2S204",35,"leftpalm"
"L2S204",24,"leftpalm"
"L2S204",19,"leftpalm"
"L2S204",27,"leftpalm"
"L2S175",10,"leftpalm"
"L2S175",778,"leftpalm"
"L2S175",51,"leftpalm"
"L2S175",230,"leftpalm"
"L2S175",10,"leftpalm"
"L2S175",30,"leftpalm"
"L2S175",7,"leftpalm"
"L2S175",19,"leftpalm"
"L2S175",868,"leftpalm"
"L2S175",44,"leftpalm"
"L2S175",293,"leftpalm"
"L2S175",100,"leftpalm"
"L2S175",56,"leftpalm"
"L2S175",44,"leftpalm"
"L2S175",38,"leftpalm"
"L2S175",26,"leftpalm"
"L2S175",43,"leftpalm"
"L2S175",106,"leftpalm"
"L2S175",139,"leftpalm"
"L2S175",50,"leftpalm"
"L2S175",49,"leftpalm"
"L2S175",21,"leftpalm"
"L2S175",134,"leftpalm"
"L2S175",102,"leftpalm"
"L2S175",66,"leftpalm"
"L2S175",14,"leftpalm"
"L2S175",31,"leftpalm"
"L2S175",43,"leftpalm"
"L2S175",8,"leftpalm"
"L2S175",50,"leftpalm"
"L2S175",10,"leftpalm"
"L2S175",24,"leftpalm"
"L2S175",14,"leftpalm"
"L2S175",57,"leftpalm"
"L2S175",25,"leftpalm"
"L2S175",18,"leftpalm"
"L2S175",23,"leftpalm"
"L2S175",16,"leftpalm"
"L2S175",49,"leftpalm"
